[21:56:47] [ServerMain/INFO]: [bootstrap] Running Java 21 (OpenJDK 64-Bit Server VM 21.0.9+10-Ubuntu-124.04; Ubuntu null) on Linux 6.8.0-1030-azure (amd64)
[21:56:47] [ServerMain/INFO]: [bootstrap] Loading Paper 1.21-130-master@b1b5d4c (2024-08-10T10:02:42Z) for Minecraft 1.21
[21:56:48] [ServerMain/INFO]: [PluginInitializerManager] Initializing plugins...
[21:56:49] [ServerMain/INFO]: [PluginInitializerManager] Initialized 2 plugins
[21:56:49] [ServerMain/INFO]: [PluginInitializerManager] Bukkit plugins (2):
 - DayCounter (2.1), OpenInv (4.4.1)
[21:56:55] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[21:56:58] [ServerMain/INFO]: Loaded 1290 recipes
[21:56:58] [ServerMain/INFO]: Loaded 1399 advancements
[21:56:59] [Server thread/INFO]: Starting minecraft server version 1.21
[21:56:59] [Server thread/INFO]: Loading properties
[21:56:59] [Server thread/INFO]: This server is running Paper version 1.21-130-master@b1b5d4c (2024-08-10T10:02:42Z) (Implementing API version 1.21-R0.1-SNAPSHOT)
[21:57:00] [Server thread/INFO]: [spark] This server bundles the spark profiler. For more information please visit https://docs.papermc.io/paper/profiling
[21:57:00] [Server thread/INFO]: Server Ping Player Sample Count: 12
[21:57:00] [Server thread/INFO]: Using 4 threads for Netty based IO
[21:57:01] [Server thread/WARN]: [!] The timings profiler has been enabled but has been scheduled for removal from Paper in the future.
    We recommend migrating to the spark profiler.
    For more information please visit: https://github.com/PaperMC/Paper/discussions/10565
[21:57:01] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 1 worker threads, and population gen parallelism of 1 threads
[21:57:02] [Server thread/INFO]: Default game type: SURVIVAL
[21:57:02] [Server thread/INFO]: Generating keypair
[21:57:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:57:02] [Server thread/INFO]: Using epoll channel type
[21:57:02] [Server thread/INFO]: Paper: Using libdeflate (Linux x86_64) compression from Velocity.
[21:57:02] [Server thread/INFO]: Paper: Using OpenSSL 3.0.x (Linux x86_64) cipher from Velocity.
[21:57:02] [Server thread/INFO]: [OpenInv] Loading server plugin OpenInv v4.4.1
[21:57:02] [Server thread/INFO]: [DayCounter] Loading server plugin DayCounter v2.1
[21:57:02] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[21:57:02] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[21:57:02] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[21:57:02] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[21:57:02] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[21:57:02] [Server thread/INFO]: Preparing level "world"
[21:57:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:57:10] [Server thread/INFO]: Time elapsed: 6722 ms
[21:57:10] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[21:57:15] [Server thread/INFO]: Time elapsed: 5137 ms
[21:57:15] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[21:57:21] [Server thread/INFO]: Time elapsed: 6210 ms
[21:57:21] [Server thread/INFO]: [OpenInv] Enabling OpenInv v4.4.1
[21:57:22] [Server thread/WARN]: [OpenInv] Your server version (craftbukkit) is not supported.
[21:57:22] [Server thread/WARN]: [OpenInv] Please download the correct version of OpenInv here: https://github.com/Jikoo/OpenInv/releases
[21:57:22] [Server thread/INFO]: [DayCounter] Enabling DayCounter v2.1
[21:57:22] [Server thread/INFO]: [spark] Starting background profiler...
[21:57:22] [Server thread/INFO]: Done preparing level "world" (20.089s)
[21:57:22] [Server thread/INFO]: Running delayed init tasks
[21:57:22] [Server thread/INFO]: Done (36.620s)! For help, type "help"
[21:57:22] [Server thread/INFO]: Timings Reset
[21:57:27] [User Authenticator #0/INFO]: UUID of player nickj22 is 0d03d207-516d-35e2-b357-16911f5dec02
[21:57:32] [Server thread/INFO]: nickj22 joined the game
[21:57:33] [Server thread/INFO]: nickj22[/127.121.45.82:37131] logged in with entity id 320 at ([world]361.5, 72.5, -739.5)
[22:00:35] [User Authenticator #1/INFO]: UUID of player valen_cho is 17ca5cfc-ad62-3c36-a5c6-7b115ec30170
[22:00:37] [Server thread/INFO]: valen_cho joined the game
[22:00:37] [Server thread/INFO]: valen_cho[/127.253.31.177:49953] logged in with entity id 1283 at ([world]214.29984672476553, 67.0, -794.1480205782343)
[22:02:59] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.3152706233558433
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 4.748824299873377
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 4.3852068539766265
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 4.021417568535242
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 3.657536335179657
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 3.2936059023284088
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 2.9296491438079784
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 2.565678298946807
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 2.2016999167655626
[22:03:00] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.8377175015146463
[22:03:01] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.4737329282485803
[22:03:01] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.109747200271613
[22:03:01] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7457608544318646
[22:03:01] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.38177417798607394
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.999673883028322
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.9008564875119873
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7830734181058006
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7154954242952272
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.690667531518784
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7023453523203216
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7335566526120374
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.7903800714504996
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.8657410956062677
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.951021222767281
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.0416088641809438
[22:03:02] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.1350364506506594
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.2299836350975966
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.3257439261245736
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.421939294270942
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.5183674635093212
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.6149201999705838
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.6665836441970896
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.6942277231447633
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.709019518626178
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.716934313471711
[22:03:03] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 1.8233747332199073
